Lemma,Grundform
Arbeit,"['Abendarbeit', 'Bahnarbeiter', 'Bauernarbeiter', 'Blitzarbeiter', 'Donnerkeilsarbeit', 'Feierabendarbeiter', 'Forstarbeiter', 'Freizeitarbeit', 'Fremdarbeiter', 'Gartenarbeit', 'Gastarbeiter', 'Gelegenheitsarbeiter', 'Grobarbeit', 'Handarbeiter', 'Heckenarbeiter', 'Holzarbeiter', 'Hundsarbeit', 'Kulturarbeiter', 'Nebenerwerbsarbeiter', 'Ochsenarbeit', 'Sauarbeit', 'Schweinearbeit', 'Stallarbeit', 'Waldarbeiter']"
Bauer,"['Abendbauer', 'Arbeiterbauer', 'Bergbauer', 'Bergbauern', 'Bützigbauern', 'Dreckbauern', 'Fabrikbauer', 'Fabrikbäuerlein', 'Feierabendbauer', 'Feierabendbäuerlein', 'Feierabendsbauer', 'Feierabendsbäuerlein', 'Fischbauer', 'Fischbäuerl', 'Fischzuchtbauer', 'Freizeitbauer', 'Fünferbauer', 'Fünfuhrbauer', 'Gaubauer', 'Gaubauern', 'Gaulbauer', 'Geißbauer', 'Geißbäuerlein', 'Gemüsbauer', 'Gemüsbäuerin', 'Grabfeldbauer', 'Grabfeldbauern', 'Gäubauer', 'Gäubauern', 'Hasenbauer', 'Hasenbäuerlein', 'Hesselbergbauer', 'Holzbauer', 'Hopfenbauern', 'Höhenbauer', 'Industriebauer', 'Karpfenbauer', 'Karpfenbäuerlein', 'Kehrichbauer', 'Kehrichbauern', 'Kehrichtbauer', 'Kehrichtbauern', 'Kleinbauer', 'Kleinbäuerlein', 'Klitschenbäuerlein', 'Knallbäuerlein', 'Knuppeleinsbauer', 'Kuhbäuerlein', 'Kuhpritschelbauer', 'Kärpflingsbauer', 'Kühbauer', 'Marktbauer', 'Mondscheinbauer', 'Mondscheinbäuerlein', 'Mostbauer', 'Musterbauer', 'Müllbauer', 'Müllbauern', 'Ortsbäuerin', 'Pfundsbauer', 'Platzbäuerin', 'Rucksackbauer', 'Rucksackbäuerlein', 'Samstagbauer', 'Samstagsbauer', 'Samstagsonntagbauer', 'Saubauer', 'Schuttbauer', 'Schuttbauern', 'Sonntagbauer', 'Sonntagsbauer', 'Stupfelbauer', 'Säubauer', 'Taubenbauerlein', 'Teichbauer', 'Weiherbauer', 'Werkstattbäuerlein', 'Wurzelbauer', 'Ziegenbauer', 'Ziegenbäuerlein', 'Zwergbauer']"
Brot,"['Abendbrot', 'Ankenbrot', 'Backsteinbrot', 'Barrasbrot', 'Bischofbrot', 'Bratbrot', 'Bratwurstbrot', 'Bratwurstbrötchen', 'Bratwurstbrötlein', 'Brotbissel', 'Brotbissen', 'Brotbröckelchen', 'Brotbröckelein', 'Brotbröcklein', 'Brotbröselein', 'Brotbröslein', 'Brotsbröselein', 'Brötlein', 'Butterbrot', 'Deichselbrot', 'Dreiebrot', 'Eigenbrötler', 'Enkebrot', 'Fransbrot', 'Fransbrötlein', 'Frühbrot', 'Frühjähnbrot', 'Frühpausebrot', 'Frühstücksbrot', 'Geleebrot', 'Gerstenbrot', 'Halberabendbrot', 'Hasenbrot', 'Hirtenbrot', 'Hutzelbrot', 'Jahnbrot', 'Jähnbrot', 'Kaffeebrot', 'Kafichbrot', 'Kaiserbrötlein', 'Kasernenbrot', 'Kastenbrot', 'Kirchtagsbrot', 'Kirchweihbrot', 'Kloßbrot', 'Klößbrot', 'Klößebrot', 'Klößelbrot', 'Klößleinbrot', 'Knödelbrot', 'Knödeleinbrot', 'Kommissbrot', 'Käsebrot', 'Kümmelbrötlein', 'Laibbrot', 'Liebegottleinsbrot', 'Lungenbrot', 'Maschinenbrot', 'Milchbrötchen', 'Milchbrötlein', 'Mohnbrötlein', 'Morgenbrot', 'Mostbrot', 'Mundbrot', 'Mundbrötlein', 'Nachmittagbrot', 'Neunebrot', 'Pausebrot', 'Pausenbrot', 'Pflaumenbrot', 'Pumpernickelbrot', 'Röhrlbrot', 'Römischbrot', 'Salzbrötlein', 'Schmierbrot', 'Schmierenbrot', 'Schneebrot', 'Schnittbrötlein', 'Schulbrot', 'Schwarzbrot', 'Semmelbrötlein', 'Soldatenbrot', 'Sparbrötchen', 'Sternbrötlein', 'Trockenbrot', 'Vesperbrot', 'Vierebrot', 'Wasserbrot', 'Wasserbrötchen', 'Wasserbrötlein', 'Weckenbrot', 'Weißbrot', 'Weißbrötchen', 'Wurstbrot', 'Wurstbrötel', 'Wurstebrötchen', 'Zehnebrot', 'Zuckerbrot', 'Zwetschgenbrot']"
Zeit,"['Abendbrotzeit', 'Barraszeit', 'Beizeite', 'Brautzeit', 'Brotbröseleinshochzeit', 'Brotzeit', 'Dorfzeitung', 'Dreschleutemahlzeit', 'Dreschmahlzeit', 'Eiszeit', 'Enkerszeit', 'Enkeszeit', 'Erdbirnengrabeszeit', 'Erdbirnenzeit', 'Erdäpfelzeit', 'Frühbrotzeit', 'Frühjahrszeit', 'Frühstückszeit', 'Gemeindezeitung', 'Hackzeit', 'Henkersmahlzeit', 'Heunerzeit', 'Hochzeit', 'Hochzeitauto', 'Hochzeiter', 'Hochzeitmann', 'Holzhauerbrotzeit', 'Jähnbrotzeit', 'Kaffeezeit', 'Kirchweihzeit', 'Laufzeit', 'Mahlzeit', 'Melkerszeit', 'Nachtmahlzeit', 'Neunebrotzeit', 'Notzeiten', 'Patakenzeit', 'Pälzamärtlzeit', 'Ranzzeit', 'Saatzeit', 'Sitzzeit', 'Tageszeit', 'Thomaszeit', 'Unternzeit', 'Versperzeit', 'Vesperbrotzeit', 'Vesperzeit', 'Vierebrotzeit', 'Vorweihnachtszeit', 'Weihnachtszeit', 'Wurfzeitung', 'Ziel', 'Zwischenmahlzeit', 'Zwischenzeit', 'Übergangszeit']"
essen,"['Abendessen', 'Abschiedsessen', 'Allerweltsessen', 'Botenessen', 'Brotessen', 'Drescheressen', 'Dreschessen', 'Dreschleuteessen', 'Einernteessen', 'Ernteessen', 'Erntenessen', 'Essendüppchen', 'Festessen', 'Fischessen', 'Halberabendessen', 'Jähbrotessen', 'Kaffeeessen', 'Karpfenessen', 'Kindkirmesessen', 'Kindleinsessen', 'Kindleinskirchweihessen', 'Kindskirmesessen', 'Kindsschenkessen', 'Kindstaufessen', 'Kirchweihessen', 'Königsessen', 'Milchessen', 'Mitesser', 'Mitesserlein', 'Mittagessen', 'Mutessen', 'Nachtessen', 'Schnitteressen', 'Schnitterntesessen', 'Schnittessen', 'Semmelessen', 'Suppenessen', 'Taufessen', 'Verwandtenessen', 'Vormittagessen', 'Wurstesser', 'Würsteesser', 'Zuabendessen', 'Zunachtessen', 'Überessen']"
Futter,"['Abendfüttern', 'Advokatenfutter', 'Beifutter', 'Brockenfutter', 'Brühfutter', 'Bubenfutter', 'Dauschenfutter', 'Dauschfutter', 'Dünnfutter', 'Dürrfutter', 'Einfuttern', 'Einfüttern', 'Eiweißfutter', 'Ferkelfutter', 'Fertigfutter', 'Futterfässlein', 'Geiferfutter', 'Gemischtfutter', 'Grünfutter', 'Gänsefutter', 'Gärfutter', 'Hasenfutter', 'Hennenfutter', 'Herbstfutter', 'Heufutter', 'Hundsfutter', 'Häckselfutter', 'Hühnerfutter', 'Hünkelsfutter', 'Infütter', 'Ingefutter', 'Ingefütter', 'Innenfutter', 'Jackenfutter', 'Kalkfutter', 'Kittelfutter', 'Kleiderfutter', 'Kraftfutter', 'Kälberfutter', 'Kühfutter', 'Leistungsfutter', 'Mastfutter', 'Matschfutter', 'Melkfutter', 'Milchfutter', 'Milchmischfutter', 'Mischfutter', 'Nasenfutter', 'Nassfutter', 'Nassfütterung', 'Neigefutter', 'Nährsilofutter', 'Raufutter', 'Reitfutter', 'Rockfutter', 'Rohfutter', 'Rohrfutter', 'Saufutter', 'Saufutterage', 'Schabfutter', 'Schelfenfutter', 'Schrotfutter', 'Schweinefutter', 'Schweinemastfutter', 'Schweinfutter', 'Silofutter', 'Stoppelfutter', 'Säufutter', 'Säufutterage', 'Säuleinfutter', 'Säuleinsfutter', 'Taschenfutter', 'Trockenfutter', 'Trockenfütterung', 'Unterfutter', 'Vorfutter', 'Vögelsfutter', 'Weichfutter', 'Weichfütterung', 'Winterfutter', 'Zusatzfutter']"
Kirche,"['Abendkirche', 'Ganzkirche', 'Kirmesemaien', 'Totenkirchlein']"
Mahl,"['Abendmahl', 'Abendmahler', 'Abendmahlgehner', 'Abschneidersmahl', 'Abschneidmahl', 'Dreschermahl', 'Dreschmahl', 'Erntemahl', 'Hebmahl', 'Kindsbettmahl', 'Nachtmahl', 'Nachtmahlleite', 'Nachtmahlsgast', 'Schnittersmahl', 'Taufmahl']"
Gast,"['Abendmahlgast', 'Abendmahlsgast']"
gehen,"['Abendmahlgeher', 'Bettgehen', 'Bittgang', 'Bittgänger', 'Blindgänger', 'Bußgang', 'Dorfumgang', 'Draufgeher', 'Draufgänger', 'Durchgang', 'Ebengänger', 'Einzelgänger', 'Einzelgängerin', 'Entengang', 'Flurgang', 'Fortgehen', 'Fremdgeher', 'Fremdgänger', 'Gehörgang', 'Handgang', 'Hasengang', 'Heimgehen', 'Hergehiger', 'Hämorrhoidengang', 'Jahrgang', 'Kiltgang', 'Kiltgeher', 'Kirchgänger', 'Lausgang', 'Leergang', 'Losgänger', 'Läusegang', 'Marktgeher', 'Marktgänger', 'Maschinengang', 'Matrosengang', 'Metzgergang', 'Metzgersgang', 'Schiffergang', 'Schleifersgang', 'Schneckengang', 'Schneidersgang', 'Schongang', 'Seegang', 'Seemannsgang', 'Sonnenaufgang', 'Streugang', 'Sägang', 'Särillengang', 'Trippelgang', 'Umgang', 'Umgeher', 'Umgänger', 'Wallgänger', 'Wechselgang', 'Widergang', 'Wurfgang', 'Zugegangener', 'Zusammengegangene', 'Übergang', 'Übergangsgeld']"
