Lemma,Grundform 
schnorren,"['Allerweltsschnorrer', 'Bierschnorrer', 'Geschnorrter', 'Schnorrer', 'anschnorren', 'anschnurren']"
schnüffeln,"['Allerweltsschnüffler', 'Schnüffler', 'abschnüffeln', 'ausschnüffeln', 'herumschnuffern', 'hinabschnüffeln', 'schnufern', 'schnuffern']"
schwindeln,"['Allerweltsschwindler', 'abschwindeln', 'angeschwindeln', 'anschwindeln', 'schwindelig', 'schwinderig', 'schwindlig', 'wegschwindeln']"
stinken,"['Allerweltsstinker', 'Barrasstinker', 'Fischstinker', 'Gestiefelgestank', 'Heringsstinker', 'Judenstinker', 'Jüdenstinker', 'Stinker', 'Stinketer', 'Weihrauchstinker', 'anstinken', 'ausstinken', 'ausstinken, sich', 'derstinken', 'einstinken', 'einstänkern', 'stinkern', 'stinkig', 'verstinken', 'vollstänkern', 'zerstunken']"
tratschen,"['Allerweltstratsche', 'Austratsche', 'Dorftratsche', 'Gemeindetratsche', 'Getratsch', 'Nachttratschen', 'Regimentsratscher', 'Stadttratsche', 'Tratsche', 'Tratscher', 'Tratschwetter', 'abtratschen', 'austratschen', 'vertratschen']"
Vieh,"['Allerweltsvieh', 'Gefiedervieh', 'Geflügelvieh', 'Urvieh']"
weise,"['Allerweltsweisheit', 'Nasenweißer', 'Naseweiser', 'Weisheit']"
wert,"['Allerwertester', 'Futterverwerter', 'derwert', 'verwerten']"
wissen,"['Allesbesserwisser', 'Alleswisser', 'Besserwisser', 'Vielwisser']"
sperren,"['Allessperrer', 'Drehsperre', 'Feilsperre', 'Gesperr', 'Gesperre', 'Maulsperre', 'Sperre', 'Sperrstecker', 'Wassersperre', 'absperren', 'aussperren', 'eingesperrt', 'einsperren', 'einsperren, sich', 'sperrig', 'wegsperren', 'zugesperrt']"
Streit,"['Alltagsstreiter', 'Gestreit', 'Streiten', 'Streiter', 'Streiterin', 'abstreiten', 'abstreiten, sich', 'anstreiten, sich', 'auseinanderstreiten, sich', 'ausstreiten', 'bestreiten', 'herausstreiten', 'herstreiten', 'herumstreiten', 'herüberstreiten', 'hin- und herstreiten', 'hinstreiten', 'hinüberstreiten', 'streiten', 'strittig', 'umeinanderstreiten', 'verstreiten', 'verstritten', 'wegstreiten', 'widerstreiten', 'zerstreiten', 'zerstritten']"
Korn,"['Almodekörner', 'Getreidekorn', 'Kornböcke', 'auskörnen']"
wohnen,"['Altbewohner', 'Bergbewohner', 'Jurabewohner', 'Talbewohner', 'Wohnung']"
Altdorf,['Altdorfer']
alt,"['Alte', 'Alten', 'Alter', 'Altertum', 'alteinen', 'alteinern', 'altertümlich', 'uralt', 'Älteste', 'Ältester', 'ältern', 'ältsern']"
Berta,"['Alte Berta', 'Eisere Bertel', 'Eiserne Bertel', 'Eisige Berti']"
Hexe,"['Alte Hexe', 'Alte Schwarze Hexe', 'Erdäpfelshexe', 'Gehex', 'Hexenfinger', 'Hexer', 'Woldhexn', 'anhexen', 'behexen', 'herhexen', 'herumhexen', 'hexen', 'hinanhexen', 'verhexen', 'verhext', 'weghexen']"
Sau,"['Alte Sau', 'Einlegsau', 'Erzsau', 'Gesäu', 'Gesäue', 'Sauborste', 'Sausaichet, krumm wie', 'Sauschlape', 'Sauschlappe', 'Sauschmarren', 'Sauseiche', 'Säukrieche', 'Säureneklode', 'Säusaufen', 'Säusaufig', 'Säuschlappen', 'absäuen', 'alte Sau', 'ansauen', 'besoffene Sau', 'eingesaut', 'eingesäut', 'einsauen, sich', 'einsäuen', 'einsäuen, sich', 'geile Sau', 'gesengte Sau', 'herabsäuen', 'herumsauen', 'herumsaulieren', 'herumsäuen', 'heruntersauen', 'herümsauen', 'herümsäuen', 'hinansäuen', 'hineinsauen', 'hineinsäuen', 'sauborstig', 'sauen', 'sauern', 'sauieren', 'saulieren', 'saurieren', 'sauwiderspenstig', 'schauen', 'säuen', 'säulen', 'säulenen', 'unter aller Sau', 'versauen', 'versoffene Sau', 'versäuen', 'vollsauen', 'vollsäuen', 'zusammensauen', 'zusammensäuen']"
sitzen,"['Alteingesessener', 'Ansitz', 'Ansässiger', 'Aufsitz', 'Besessener', 'Besitzer', 'Dengelsitz', 'Doppelsitzer', 'Eingesessener', 'Einsitzer', 'Erdsitz', 'Gesäß', 'Käseladelbesitzer', 'Ortsansässiger', 'Sitzender', 'Sitzeter', 'Sitzung', 'Viersitzer', 'Zweisitzer', 'absitzen', 'ansitzen', 'aufsitzen', 'ausgesessen', 'aussatzen', 'aussitzen', 'besitzen', 'durchgesessen', 'einsitzen', 'heruntersitzen', 'im Dalles sitzen', 'in der Ankse sitzen', 'nachsitzen', 'niedergesessen', 'sitzet lassen', 'versessen', 'zusammengesessen']"
Würze,"['Altemodegewürz', 'Gewürz', 'würzen']"
Fleck,"['Altersflecken', 'Druckflecken', 'Einbindfleck', 'Flecken', 'Fleckleinlutscher', 'Fleckleinnutscher', 'Knutschflecken', 'Kuhflecken', 'Mostflecken', 'Sommerflecken', 'Sonnenflecken', 'Stoßflecken', 'Zullerfleck', 'flecken', 'geflecket', 'gefleckt', 'herabflecken', 'leberfleckig']"
Altmühl,['Altmühlbauer']
Tal,"['Altmühltaler', 'Regnistztal', 'Regnitztaler', 'Steinachtaler', 'Taler', 'Talpantscher']"
Eckenbach,['Am Eckenbach']
Friedhof,['Am Friedhof']
Ambrosius,['Ambros']
Bürzel,"['Ameisbürzel', 'Burze', 'burzeln']"
Hügel,"['Ameishügel', 'Ametzenhügel']"
Amerika,['Amerikaner']
Ameise,"['Ametze', 'Bärämeisenhaufen', 'Lämetzenhaufen', 'Pfetzämeisenhaufen', 'Pfetzämeishaufen', 'Pfetzämetzenhaufen', 'Seichametzen', 'Seichhhämeisenhaufen', 'Seichhämeisen', 'Seichhämeisenhaufen', 'Seichsämetzhaufen', 'Seichämeisenhaufen', 'Seichämeishaufen', 'Ämeisenhaufen', 'Ämeishaufen', 'Ämetzenhaufen', 'Ämetzhaufen']"
Ammer,"['Ammerlingsknie', 'Emmerig', 'Emmerlich', 'Engerling', 'Heuemmerig', 'Ämmerling']"
Amsel,['Amseln']
schlüpfen,"['An-mich-hinan-Schlupfelein', 'An-mich-hinan-Schlüpfelein', 'Ausgeschlüpftes', 'Dachschlupfer', 'Hineinschlupfer', 'Riemenschlüpfer', 'Schlapfe', 'Schlupfe', 'Schlupfer', 'Schlüpfer', 'Schuhschlüpfer', 'aufschlüpferig', 'ausschlüpfen', 'durchschlüpfen', 'schlüpfrig']"
bauen,"['Anbau', 'Aufbau', 'Dachbaute', 'Gebäu', 'Mausfallenbauer', 'Nachbau', 'Stämmebauer', 'Unterbau', 'Vorbau', 'Zwischenfruchtbau', 'abbauen', 'anbauen', 'anbauern', 'aufbauen', 'bäuig', 'einbauen', 'einbauen, sich', 'gebaut', 'hinbauen', 'mitbauen', 'umbauen', 'umgebauen', 'zusammenbauen']"
Schuppen,"['Anbauschuppen', 'Anhängerschupfen', 'Schupfe', 'Schüpfscheuer']"
beißen,"['Anbeißen', 'Beißer', 'Beißerin', 'Beißig', 'Beißige', 'Bierbeißer', 'Bissen', 'Bissige', 'Bissiger', 'Bohnenbeißer', 'Bullbeißer', 'Gabelbissen', 'Kernbeißer', 'Knickebeißer', 'Krippenbisser', 'Maulbissen', 'Nacktbeißer', 'Pferdsbeißer', 'Pobeißer', 'Scheißerlein-Beißerlein', 'abbeißen', 'abbeißig', 'anbeißen', 'anbeißig', 'aufbeißen', 'ausbeißen', 'beißet', 'beißig', 'bissig', 'durchbeißen', 'festbeißen, sich', 'herbeißen', 'herunterbeißen', 'hinbeißen', 'jähbeißig', 'verbeißen', 'verbissen', 'weggebissen', 'zum Anbeißen']"
betteln,"['Anbetteln', 'Bettler', 'Hopfenbettler', 'abbetteln', 'anbetteln']"
Papier,"['Anbrennpapier', 'Anzündpapier', 'Einwickelpapier', 'Papiermagen', 'einpapiereln', 'einpapieren']"
Bruch,"['Anbruchholz', 'Anbrüchig', 'Bruchstelle', 'anbrüchet', 'anbrüchig werden', 'gichtbrüchig', 'kernanbrüchig', 'umbrüchig']"
Damm,"['Andamm', 'Andammer', 'Andämmer', 'Dämmung', 'eindämmen']"
Deckel,"['Andeckel', 'Kochdeckel', 'Verschlussdeckel', 'abdeckeln', 'beröhrendeckeln', 'eindeckeln']"
denken,"['Andenken', 'Andenkes', 'Denker', 'Denking', 'Gedanke', 'Nachdenklicher', 'bedacht', 'bedenken', 'gedacht', 'nachdenken']"
Andreas,"['Ander', 'Andre', 'Andres', 'Res', 'Reser']"
ander,"['Andere', 'Anderling', 'andere', 'anderes Mal', 'mitander', 'ändern']"
Ente,"['Anderlingsente', 'Antrech', 'Ente', 'Enter', 'Enterich', 'lahme Ente']"
Kalb,"['Anderlingskalbin', 'Erstlingskalbin', 'Kalben', 'Kalberer', 'Kalbin', 'Kälber', 'Kälberling', 'Kälbern', 'Kälberzähne', 'Kälbig', 'Zeitkalbin', 'herumkälbern', 'kalben', 'kalbern', 'kälbern', 'verkalben', 'zusammenkälbern']"
Kind,"['Anders-andere-Kinder', 'Aufpasskind', 'Beichtkind', 'Geschwisterkinder', 'Herde Kinder', 'Inzuchtkind', 'Kinder', 'Kinderbacken', 'Kinderwagen', 'Kindsin', 'Zu-Nachtmahls-Kind', 'andere Geschwisterkinder']"
Duft,"['Anduft', 'anduften', 'angeduftet', 'beduften', 'duften', 'duftig', 'düfteln', 'düftig', 'geduftet', 'herumverduften', 'verduften', 'verduften, sich']"
Erbe,"['Anerbe', 'Dererbtes', 'Erbschaft', 'Erbshausen', 'aberben', 'anerben', 'auserben', 'beerben', 'dererben', 'erben', 'vererben']"
kennen,"['Anerkennung', 'Bekannte', 'Bekanntschaft', 'auseinanderkennen', 'auskennen', 'auskennen, sich', 'außereinanderkennen', 'bekannt', 'bekennen', 'kanntlich']"
an,"['Anfasser', 'Anhauere', 'Anpacker', 'Anriß', 'Anziehe', 'Stifler', 'Stifter', 'an das', 'angetrieben', 'angeulen', 'anhäbig', 'anknaunzen', 'ans', 'anschmiegen, sich', 'anständig', 'antrudern', 'fortan']"
Force,"['Anforsch', 'Forscher']"
Furche,"['Anfurche', 'Angefurchtes', 'Erdbirnenfurche', 'Erdbirnfurche', 'Erdäpfelfurche', 'Erdäpfelsfurche', 'Fehlfurche', 'einfurchig', 'furcheln', 'zweifurchig', 'zweifürchig']"
Bot,"['Angebot', 'Gebot']"
faul,"['Angefaultes', 'Faule', 'Faulentia', 'Faulenzer', 'Faulenzerin', 'Fauler', 'Faulheit', 'Fäulste', 'Fäulster', 'Maulfauler', 'angefault', 'angefäult', 'ausfaulen', 'ausgefäult', 'derfaulen', 'faulen', 'faulenzen', 'faulig', 'gefault', 'kernfaulig', 'redefaul', 'redfaul', 'verfaulen', 'verfault', 'zusammengefault']"
fressen,"['Angefressener', 'Besen fressen', 'Bienenfresser', 'Brockenfresser', 'Fettfresser', 'Fleischfresser', 'Fraß, verlegener', 'Fresse', 'Fresser', 'Fressling', 'Gefress', 'Gefressig', 'Glimmstängelfresser', 'Grefress', 'Großfresse', 'Großfressiger', 'Haarfresser', 'Herausgefressener', 'Kinderfresser', 'Kippenfresser', 'Knöpfleinsfresser', 'Kohlrübenfresser', 'Kohlweißfresser', 'Krautfresser', 'Mitfresser', 'Pfefferfresser', 'Rasenfresser', 'Schmalzfresser', 'Spaghettifresser', 'Spinnenfresser', 'Säugefresse', 'Säumagenfresser', 'Säusachenfresser', 'Tintenfresser', 'Traubenfresser', 'Weckfresser', 'Wurstfresser', 'Würstefresser', 'abfressen', 'abgefressen', 'anfressen', 'anfressen, sich', 'angefressen', 'auffressen', 'ausfressen', 'durchfressen', 'durchfressen, sich', 'gefräßig', 'großfressig', 'herfressen, sich', 'unfressig', 'unfräßig', 'ungefräßig', 'verfressen', 'wegfressen', 'zusammenfressen', 'zusammenfressen, sich', 'zusammengefressen']"
heiraten,"['Angeheirateter', 'Eingeheiratete', 'Eingeheirateter', 'Geldheirat', 'Heirat', 'Heiratstruhe', 'Hereingeheiratete', 'Hereingeheirateter', 'Hergeheiratete', 'Hergeheirateter', 'Hineingeheiratete', 'Hineingeheirateter', 'Schmusheirat', 'Spekulationsheirat', 'Spekulierheirat', 'angeheiratet', 'derheiraten', 'eingeheiratet', 'einheiraten', 'herheiraten', 'unverheiratet', 'verheiratet', 'zuheiraten']"
hören,"['Angehörige', 'Anhören', 'abhören', 'anhören', 'anhören, sich', 'aufhören', 'gehören (zu)', 'gehören, sich', 'gehörig', 'schwerhörig', 'unaufhörlich', 'ungehöret', 'ungehörig', 'zuhören', 'zusammengehören']"
gehören,"['Angehöriger', 'Gehöriger']"
lehnen,"['Angelehnte', 'Anlehner', 'Gelehntes', 'Getreidelehner', 'Lehne', 'Lehner', 'Lehnig', 'Rückenlehne', 'Rücklehne', 'Schattenlehner', 'Stuhlgelehne', 'Stuhllehne', 'Stuhlslehne', 'Stühllehne', 'Zug hineinlehnen', 'ablehnen', 'angelehnt', 'anlehnen', 'auflehnen', 'beilehnen', 'hineinlehnen, sich', 'hinlehnen', 'lehnenig']"
matzen,"['Angematzte', 'Matzerer', 'angematzt', 'anmatzen']"
mischen,"['Angemischtes', 'Eckenmischung', 'Gemisch', 'Giftmischer', 'Mischig', 'Mischling', 'Mischung', 'Promenadenmischung', 'Randsteinmischung', 'einmischen', 'gemischt', 'gemischte Stölle', 'untermischen']"
netzen,"['Angenetzt', 'einnetzen']"
Reif,"['Angereiftes', 'Eisenreifen', 'Reife', 'Reifen', 'Setzleistenreifen', 'Wagenreife', 'angereifen, sich', 'angereift', 'anreifen', 'anreifen, sich', 'bereifen', 'bereifen, sich', 'bereift', 'eingereift', 'einreifen', 'gereift', 'hinreifen', 'raureifen', 'raureifig', 'reifen', 'reifig', 'zugereift']"
rühren,"['Angerührter', 'Angerührtes', 'Eingerühre', 'Gerühr', 'Gerührter', 'Kaffeerührer', 'abrühren', 'angerühren', 'angerührt', 'anrühren', 'aufrühren', 'ausrühren', 'durchrühren', 'einrühren', 'gerührig', 'gerührt', 'rührig', 'verrühren', 'zusammenrühren']"
schieben,"['Angeschobener', 'Anschieben', 'Anschieber', 'Anschieberin', 'Ausschub', 'Dreckschieber', 'Erdenschieber', 'Hennenschieber', 'Karusellschieber', 'Knieschieber', 'Kohldampf schieben', 'Mistschieber', 'Moosschieber', 'Nachschub', 'Sandschieber', 'Schiebe', 'Schieber', 'Schneeschieber', 'Schuber', 'Schubser', 'Schübe', 'Stundenschieber', 'Teigschieber', 'Vorderschieber', 'Wagenschieber', 'Waldschieber', 'Wolkenschieber', 'Zusammengeschobener', 'abschieben', 'anschieben', 'den Rüssel schieben', 'eine Schnute schieben', 'eingeschoben', 'fortschieben', 'herumschieben', 'hinterschieben', 'ungeschübig', 'vorgeschoben', 'wegschieben', 'zusammengeschoben', 'zusammenschieben', 'zusammenschieben, sich', 'zuschieben']"
sehen,"['Angesehene', 'Angesehener', 'Ansehen', 'Aufsehen', 'Aufsehung', 'Aussehen', 'Ausseher', 'Ausseherin', 'Aussehete', 'Einsicht', 'Heimsehung', 'Hellseher', 'Nachsehen', 'Seher', 'Waldaufseher', 'absehen', 'angesehen', 'ansehen', 'auf Wiedersehen', 'aussehen', 'aussehend', 'aussehet', 'besehen', 'dersehen', 'durchsichtig', 'hersehen', 'nachsehen', 'siehst-mich-nicht', 'umsehen', 'unversehens', 'zusehends']"
spannen,"['Angespann', 'Anspann', 'Anspannet', 'Einspänner', 'Gespann', 'Ranzenspanner', 'Spanne', 'Spanner', 'Spannung', 'abgespannen', 'abspannen', 'alle Spanne lang', 'anspannen', 'anspannen, sich', 'ausgespannen', 'ausspannen', 'einspannen', 'einspännig', 'gespannt', 'wegspannen', 'zusammenspannen', 'zweispannig', 'Übergespannter', 'Überspannter']"
stellen,"['Angestellte', 'Angestelltes', 'Ansteller', 'Bettgestell', 'Bettstattgestell', 'Fahrgestell', 'Großgestellter', 'Hintergestell', 'Holzbettgestell', 'Holzgestell', 'Jammergestell', 'Kartoffelgestell', 'Kleidergestell', 'Küchengeschirrgestell', 'Küchengestell', 'Lagerstelle', 'Leck-mich-am-Arsch-Einstellung', 'Mähgestell', 'Nachsteller', 'Pfluggestell', 'Schlittengestell', 'Schüsselgestell', 'Sensengestell', 'Sesselgestell', 'Steller', 'Tellergestell', 'Trockengestell', 'Tut-schon-gut-Einstellung', 'Türgestell', 'Unanstelliger', 'Untergestell', 'Vordergestell', 'Vorstellung', 'Wagenstell', 'Zurückgestellter', 'Zusammengestell', 'Zusammenstellung', 'abgestellt', 'abstellen', 'anstellen', 'anstellen, sich', 'auf die hinteren Füße stellen, sich', 'aufgestellt', 'aufstellen', 'eingestellt', 'einstellen', 'gerade stellen', 'gestellt', 'gutstellig', 'herstellen', 'hinstellen', 'hinstellen, sich', 'stellig', 'umstellen', 'unterstellen, sich', 'verstellen', 'vorstellen', 'wegstellen', 'zurechtstellen', 'zusammenstellen']"
Strick,"['Angestricktes', 'Aufhängstrick', 'Dengelstrick', 'Fesselstricke', 'Gestrick', 'Gestricke', 'Gestricket', 'Gestrickets', 'Gestricks', 'Gestricktes', 'Krätzleinsstricker', 'Selbergestrickter', 'Stricken', 'anstricken', 'aufhinstricken', 'daraufstricken', 'fertigstricken', 'gestrickt', 'hinanstricken', 'hinaufstrickeln', 'hinaufstricken', 'hinhinterstricken', 'hinhinterstricksen', 'hinhintigstricken', 'hinterstricken', 'hintischstricken', 'stricken', 'verstricken', 'zusammenstricken', 'zustricken']"
säen,"['Angesäte', 'Angesätes', 'Eingesätes', 'Gesätes', 'Kleesamensäer', 'Kleesäer', 'Nachsäe', 'Säer', 'angesät', 'ansäen', 'ansäen, sich', 'aussäen', 'besäen', 'durchgesät', 'eingesät', 'einsäen', 'nachsäen', 'versäen', 'versät']"
wachsen,"['Angewachsen', 'Angewachsensein', 'Ausgewachsener', 'Auswuchs', 'Gewächs', 'Gewüchs', 'Halbgewachsener', 'Nachwuchs', 'Untergewuchs', 'Unterwuchs', 'Unterwüchsiges', 'Wachstum', 'Zunge angewachsen', 'angewachsen', 'aufwachsen', 'ausgewachsen', 'auswachsen', 'auswachsen, sich', 'bewachsen', 'drehwüchsig', 'gewachsen', 'herwachsen', 'unterwachsen', 'unterwüchig', 'urwüchsig', 'verwachsen', 'wegwachsen', 'wüchsig', 'zugewachsen', 'zusammenwachsen', 'zwiewüchsig']"
Gewicht,['Angewicht']
Grenze,"['Angrenze', 'Gemarkungsgrenze', 'Grenzer', 'Grenzgraben', 'abgrenzen']"
Rohr,"['Angströhre', 'Ansatzrohr', 'Armeseeleröhre', 'Bratröhre', 'Drainageröhre', 'Luftröhre', 'Ofenröhre', 'Paraderöhre', 'Rohrer', 'Röhrener', 'Röhrenfüchse', 'Röhrenklöße', 'Röhrig', 'Röhriger', 'Röhrling', 'Sandröhrling', 'Sonntagsröhre', 'Tennengeröhre', 'Tennengeröhrig', 'Tennenröhrig', 'Tenngeröhrig', 'Tennröhrig', 'Vaterunserröhre', 'Verbindungsrohr', 'Zugrohr', 'falsche Luftröhre', 'falsche Röhre', 'falsches Röhrlein', 'röhren', 'unrechte Luftröhre', 'unrechte Röhre', 'verrohren']"
Scheiß,"['Angstschisser', 'Anschiss', 'Beetscheißer', 'Bettscheißer', 'Brockenscheißer', 'Fliegenscheißer', 'Geldscheißer', 'Geltenscheißer', 'Gescheitscheißer', 'Gescheiß', 'Geschiss', 'Geschissen', 'Giftscheißer', 'Giftscheißerin', 'Glockenscheißer', 'Gänsescheiße', 'Hemdenschisser', 'Hemdscheißer', 'Hemdschisser', 'Hochgeschissener', 'Hosenscheißer', 'Hosenschisser', 'Hundsscheiße', 'Hühnerscheiße', 'Katzenscheiße', 'Kesselscheißer', 'Kirschenkernscheißer', 'Klugscheißer', 'Kohlscheißer', 'Krautscheißer', 'Kuhscheiße', 'Kuhscheißer', 'Kuhscheißig', 'Köhlscheißer', 'Kühscheiße', 'Kühscheißer', 'Madenscheißer', 'Mainscheißer', 'Mittagsscheißer', 'Mückenscheißer', 'Neungeschissene', 'Neungeschissener', 'Pflasterscheißer', 'Raupenscheißer', 'Saalscheißer', 'Scheiße', 'Scheißen', 'Scheißer', 'Scheißerin', 'Schifferscheiße', 'Schisser', 'Schleimscheißer', 'Schlottenscheißer', 'Schönscheißer', 'Stadtscheißer', 'Stadtschisser', 'Stürzenscheißer', 'Stützenscheißer', 'Trottoirscheißer', 'Tupfeleinsscheißer', 'Tüpfeleinsscheißer', 'Verratschieß', 'Verratschisser', 'Wagscheißer am Auge', 'Wegscheißer', 'Weichscheiße', 'Wüstenscheißer', 'alle Hundschieß', 'alle Hundsschieß lang', 'alle Scheiß lang', 'alle Schieß breit', 'alle Schieß lang', 'alle Schießlänge', 'alle Schiss', 'anscheißen', 'aufscheißen', 'bescheißen', 'beschissen', 'dünnschissig', 'eingeschissen', 'einscheißen', 'geschissen', 'heineinscheißen', 'herabgeschissen', 'herausscheißen', 'hereingeschissen', 'hineingescheißen', 'hineingeschissen', 'hineinscheißen', 'hochgeschissen', 'scheißen', 'scheißern', 'schönscheißen', 'verratschissern', 'verscheißen', 'verschissen', 'vollgeschissig', 'zusammenscheißen', 'zusammenschissen']"
gucken,"['Angucken', 'Anguckens', 'Aprilengucker', 'Aprilgucker', 'Aprilsgucker', 'Brillengucker', 'Gucker', 'Guckser', 'Gutzer', 'Hühnergucke', 'Mädleingucker', 'Mädleinsgucker', 'Schlaggucke', 'Sterngucker', 'angucken', 'begucken', 'hergucken', 'heruntergucken', 'hingucken', 'nach dem Rechten gucken', 'nachgucken', 'vergucken', 'weggucken', 'zugucken']"
halten,"['Anhalten', 'Ansprache halten', 'Aufhalte', 'Aufhalten', 'Aufhalter', 'Aushalten', 'Behalter', 'Behaltmannsdorf', 'Bleistifthalter', 'Brautbehälter', 'Deichselhalter', 'Däumelhalter', 'Einhalte', 'Einhalten', 'Eisenhalter', 'Federhalter', 'Feilhalter', 'Flieghalter', 'Füllfederhalter', 'Füllhalter', 'Garderobenhalter', 'Gehalt', 'Gehälter', 'Geschirrhalter', 'Giebelhalter', 'Glasgehälter', 'Glashälter', 'Halter', 'Halterung', 'Haushaltung', 'Hälter', 'Kleiderbehalter', 'Kleiderbehälter', 'Kleidergehälter', 'Kleiderhalter', 'Kleiderhälter', 'Kleiderkalter', 'Kälter', 'Küchenbehalter', 'Küchenbehälter', 'Küchengehälter', 'Küchenhalter', 'Küchenhälter', 'Küchenkalter', 'Küchenkälter', 'Leck-mich-am-Arsch-Haltung', 'Leiterhalter', 'Leuchsenhalter', 'Monturgehälter', 'Rede halten', 'Schüsselhalter', 'Senselhalter', 'Sensenhalter', 'Speisebehalter', 'Speisebehälter', 'Speisgehälter', 'Speiskalter', 'Stammhalter', 'Strängehalter', 'Unterhalt', 'Unterhalter', 'Unterhalterin', 'Unterhaltung', 'Vorbehalt', 'Wasserbehälter', 'Weißzeugbehälter', 'Wetzsteinbehälter', 'Wetzsteinhalter', 'Windelhalter', 'Windenhalter', 'Winterhaltung', 'Wäschbehälter', 'Wäschehalter', 'Zuhälter', 'Zusammenhalten', 'abhalten', 'angehalten', 'anhalten', 'aufhalten', 'auseinanderhalten', 'aushalten', 'außereinanderhalten', 'behalten', 'derhalten', 'einen Narren halten', 'einhalten', 'erhalten', 'festhalten', 'gehalten', 'herhalten', 'hinhalten', 'hinter dem Berg halten', 'in Ehren halten', 'mithalten', 'unterhaltlich', 'unterhaltsam', 'zu Narren halten', 'zum Besten halten', 'zum Narren halten', 'zurückhalten, sich', 'zurückhaltend', 'zusammenhalten', 'Überhalter', 'Überhälter']"
Zeile,"['Anhiebzeile', 'Erdbirnenzeile', 'Erdbirnzeile', 'Erdäpfelszeile', 'Erdäpfelzeile', 'Heuzeilen', 'Zeilig', 'Zeilung']"
Hitze,"['Anhitzer', 'Hitze, haben', 'Hitzeter', 'Hitziger', 'derhitzt', 'hitzen', 'hitzig', 'jähhitzig']"
hutzen,"['Anhutz', 'Anhutzer', 'Derhutzer', 'Hutzer', 'Hutzer-Hutzer', 'anhutzen', 'anhutzen, sich', 'aufhutzen', 'derhutzen', 'derhutzen, sich', 'derhutzt', 'herumhutzen', 'hinhutzen', 'loshutzen', 'weghutzen', 'zusammenhutzen']"
Sack,"['Anhängsack', 'Bettelsack', 'Reitsack', 'Sackhaar', 'Sackhausen', 'Strohsackswitwer', 'Säcke', 'Umhängesack', 'absackeln', 'absacken', 'absäckeln', 'ansacken', 'ansacken, sich', 'aussacken', 'dicksackig', 'einsacken', 'herabsacken', 'in den Sack hauen', 'sacken']"
Johanna,"['Anja', 'Ann-Lena', 'Anna', 'Anna-Lena', 'Annalena', 'Anne', 'Annegret', 'Annette', 'Hanne', 'Jane', 'Janine', 'Jeannette', 'Johanne', 'Marianne', 'Nanette']"
Klang,"['Anklang', 'klingen']"
Nacht,"['Anklopfesnacht', 'Anklopfesnächte', 'Aufnacht', 'Christnächte', 'Drudennächte', 'Fitzelnächte', 'Geisternächte', 'Glöckleinsnächte', 'Hexennächte', 'Klopfelesnächte', 'Klopferlesnächte', 'Klopfersnächte', 'Klopflesnächte', 'Klöpfelesnähte', 'Klöpfelnächte', 'Klöpflesnächte', 'Klöpflesnänchte', 'Kommnacht', 'Nachtbutzer', 'Nachtdüppen', 'Nachtrabe', 'Nachtwandler', 'Obernächte', 'Pfeffernächte', 'Raunächte', 'Reichsnächte', 'Tag-und-Nachtelein', 'Tag-und-Nachterer', 'Thomasnächte', 'Unternächte', 'Vorweihnacht', 'Vorweihnachten', 'Weihnachten', 'Zaubernächte', 'alle Nacht', 'an der Nacht', 'auf die Nacht', 'bei Nacht', 'bei der Nacht', 'des nächten', 'heilige Nächte', 'nachten', 'raue Nächte', 'untersnachten', 'vier heilige Nächte', 'vornacht', 'vornächt', 'voruntersnächten', 'weihnachten', 'zu Nacht', 'zwölf Nächte', 'zwölf Unternächte', 'übernachten', 'übernächtig']"
Kreide,"['Ankreiden', 'ankreideln', 'ankreiden']"
Anke,['Ankse']
Lage,"['Anlage', 'Auflage', 'Auslage', 'Ladungslager', 'Lagbalken', 'Lager', 'Lagerung', 'Unterlage', 'Wendelager', 'ausgelassene Lage', 'gelagert', 'lagern', 'lägerlich', 'lägertig']"
lassen,"['Anlass', 'Aufgebotserlass', 'Auflassen', 'Ausgelassener', 'Ausgelassenes', 'Einlasser', 'Einlasserer', 'Gottverlassmichnicht', 'Hereingelassener', 'abgelassen', 'ablassen', 'anlassen', 'anlassen, sich', 'anlaufen lassen', 'ansausen lassen', 'auf der Achsel reiten lassen', 'auflassen', 'aufnehmen  lassen', 'aufnehmen lassen', 'ausgelassen', 'auslassen', 'auslassen, sich', 'belegen lassen', 'bereiten lassen', 'bespringen lassen', 'decken lassen', 'derlassen', 'durchlassen', 'durchlässig', 'eingelassen', 'einlassen', 'einlassen, mit', 'entlassen', 'erlassen', 'fortlassen', 'gefallen lassen, sich', 'herlaufen lassen', 'herunterlassen', 'in Ruhe lassen', 'loslassen', 'mitgehen lassen', 'mitlassen', 'nachlassen', 'unzuverläßlich', 'verlassen', 'verlassen, sich', 'verlauten lassen', 'verschwinden lassen', 'weglassen', 'widerlassen, sich', 'zerlassen', 'zukommen lassen', 'zulassen', 'zuverlässig']"
Beet,"['Anmahdbeet', 'Erdbirnbeet', 'Erdbirnenbeet', 'Erdäpfel-Beete', 'Erdäpfelbeet', 'Erdäpfelsbeet', 'Gewandebeet', 'Kartoffelbeete', 'Schwarzbeeter', 'Vorbeet', 'anbeeten', 'einbeet', 'einbeeten', 'hinaufbeeten']"
