Lemma,Grundform
binden,"['Abbinden', 'Achsband', 'Achselband', 'Achsstockband', 'Angebind', 'Angebinde', 'Angebindetes', 'Band', 'Bandkette', 'Bauchband', 'Bauchbinde', 'Beckenband', 'Besenbinder', 'Binde', 'Binder', 'Bindern', 'Bindling', 'Bürdenbinder', 'Bürstbinder', 'Bürstenbinder', 'Dockenband', 'Dörrband', 'Einbindband', 'Eindrehband', 'Einwickelband', 'Entbindung', 'Fasselbinder', 'Fatschband', 'Fatschbinde', 'Garbband', 'Garbenband', 'Garbenbinder', 'Gebinde', 'Geißband', 'Getreideband', 'Halsband', 'Halsbinde', 'Hanfseilband', 'Hopfenband', 'Hopfenbänder', 'Hutband', 'Industrieband', 'Jochband', 'Juteband', 'Kerbenbinder', 'Kettenhalsband', 'Kinderwickelband', 'Kopfband', 'Kornband', 'Kufenband', 'Leibbinde', 'Mittelbinder', 'Mutterband', 'Nabelbinde', 'Pfatschband', 'Qualitätsband', 'Rastbinder', 'Reißband', 'Reklame-Papierband', 'Samtband', 'Schildscheitband', 'Schnurrenbinde', 'Schüttbinder', 'Seegrasband', 'Selbstbinder', 'Sisalband', 'Spreizband', 'Stirnbinder', 'Strickband', 'Strohband', 'Strohbinder', 'Strohpressbinder', 'Strohsband', 'Tragband', 'Türband', 'Verbindung', 'Weidenband', 'Wetterband', 'Wickelband', 'Wickelbinde', 'Wiegenband', 'Zigarrenbauchbinde', 'Zigarrenbinde', 'Zugverband', 'abbinden', 'abgebunden', 'anbandeln', 'anbandeln, sich', 'anbinden', 'anbändeln', 'aufbinden', 'bindern', 'einbinden', 'einen schönen aufbinden', 'entbinden', 'gebunden', 'herabbindern', 'herunterbinden', 'hinterbinden', 'umbinden', 'umgebinden', 'verbunden', 'wegbinden', 'wegbindern', 'zubendeln', 'zubinden', 'zugebunden', 'zurückbinden', 'zusammenbinden', 'zusammengebunden', 'Ösenband']"
bitten,"['Abbitte', 'Abbitten', 'Bitte', 'Leichenbitter', 'abbitteln', 'abbitten', 'erbitten']"
brennen,"['Abbrennen', 'Abgebrannter', 'Anbrenne', 'Anbrennig', 'Angebrannte', 'Angebrannter', 'Aufgebrannter', 'Brenner', 'Dauerbrenner', 'Einbrenne', 'Einbrennes', 'Einbrennig', 'Eingebranntes', 'Eingebrennetes', 'Gemüseeinbrenne', 'Hausbrand', 'Herabgebrannter', 'Kohlebrenner', 'Mehleinbrenne', 'Mehleinbrennig', 'Mordbrenner', 'Mordsbrenner', 'Spanbrenner', 'Sparbrenner', 'Spänbrenner', 'Spänebrenner', 'Verbrannter', 'Wutbrenner', 'abbrennen', 'abgebrannt', 'anbrenneinet', 'anbrennen', 'anbrennen, sich', 'angebrannt', 'aufbrennen', 'aufgebrannt', 'ausbrennen', 'ausgebrannt', 'ausgebrennt', 'brenzlig', 'durchbrennen', 'eingebrannt', 'gebrannt', 'herunterbrennen', 'heruntergebrannt', 'verbrannt', 'verbrennen', 'wegbrennen']"
brechen,"['Abbruch', 'Anbruch', 'Apfelbrecher', 'Apfelsbrecher', 'Aufbruch', 'Bahnbrecher', 'Breche', 'Brüchling', 'Durchbruch', 'Einbrecher', 'Halsbrecher', 'Schneebrecher', 'Schussbrecher', 'Steinbrecher', 'Steinbrüchler', 'Umbrechen', 'Umbrechung', 'Umbruch', 'Zahnbrecher', 'Zähnebrecher', 'abbrechen', 'abbrüchig', 'abgebrochen', 'abgebrochig', 'anbrechen', 'anbrüchig', 'angebrochen', 'aufbrechen', 'ausbrechen', 'blutbrüchig', 'brüchig', 'durchbrechen', 'durchgebrochen', 'einbrechen', 'gebrechlich', 'gebrochen', 'herabbrechen', 'herabgebrochig', 'radbrüchig', 'rotbrüchig', 'umbrechen', 'umgebrechen', 'umgebrochen', 'ungebrochen', 'ununterbrochen', 'verbrochen', 'widerbrüchig', 'zerbrechen', 'zusammenbrechen']"
Brand,"['Abbrändler', 'Brandige', 'Brändler', 'Einbrand', 'angebrandelt', 'brandig']"
Butz,"['Abbutz', 'Abbutzet', 'Abbutzig', 'Abbützig', 'Abfallbützig', 'Adamsbutzen', 'Apfelbutzen', 'Aprilbutzen', 'Ausbutzig', 'Barnbützig', 'Birnenbutzen', 'Butzdig', 'Butze', 'Butzen und Stiel', 'Butzenhiefe', 'Butzer', 'Butzicht', 'Butzig', 'Bäumebützig', 'Bütze', 'Bützig', 'Erdapfelbutzen', 'Erdbirnbützig', 'Erdbirnenbützig', 'Erdäpfelbutzen', 'Erdäpfelsbutz', 'Frühjahrsbutzen', 'Gebutzig', 'Gebütz', 'Gebütze', 'Gebützig', 'Gemüsebutzen', 'Gemüsebutzig', 'Gemüsegebützig', 'Geputzig', 'Gewitterbutze', 'Gewitterbutzen', 'Grasbutzen', 'Haarbutzen', 'Hagebutze', 'Hagebutzer', 'Hagelbutze', 'Heubützig', 'Hängebutze', 'Krenbützig', 'Maienbutzen', 'Pfandbutzen', 'Rasenbutzen', 'Schauerbutzen', 'Schlehenbutzen', 'Schneebutzen', 'Wasenbutzen', 'Wegbutzig', 'Zusammenbutzig', 'hineinbutzen', 'verbutzen', 'verbutzt', 'zusammenbutzen', 'Äpfelbutzen']"
Dank,"['Abdanken', 'Dankbarkeit', 'abdanken', 'bedanken', 'danken']"
decken,"['Abdecker', 'Balkendecke', 'Bodendecker', 'Decke', 'Doppeldecker', 'Eisdecke', 'Grasdecke', 'Holzdecke', 'Knittereisdecke', 'Rasendecke', 'Schieferdecker', 'Strohdecke', 'Wachsdeckener', 'Zudecke', 'abdecken', 'bedecken', 'bedeckt', 'eindecken', 'gedeckt', 'zudecken']"
Rasen,"['Abdeckrasen', 'Rasig', 'Rasur', 'anrasen', 'verrasent', 'verrast', 'verwast']"
dingen,"['Abding', 'Andinger', 'Ausbeding', 'Ausding', 'Ausdingig', 'Ausgeding', 'Dinger', 'Eindinger', 'Eingedingte', 'Geding', 'Knechteverdinger', 'Leibgeding', 'Mägdeverdinger', 'Verdinger', 'Verdingerin', 'abdingen', 'andingen', 'ausdingen', 'eindingen', 'unbedingt', 'verdingen']"
