Lemma,Grundform
Tuch,"['Abtrockengetüchlein', 'Abtrockentüchel', 'Abtrockentüchlein', 'Abtröckeltüchlein', 'Abwischtüchlein', 'Anbindtüchel', 'Aufsetztüchlein', 'Aufspültüchlein', 'Aufwaschtüchlein', 'Backtüchlein', 'Bindestüchlein', 'Bindtüchlein', 'Brottüchel', 'Brottüchlein', 'Brotzeittüchlein', 'Bündeleinstüchlein', 'Bündeltüchel', 'Bündeltüchlein', 'Deiseltüchlein', 'Einbindtüchel', 'Einbindtüchlein', 'Einschlagtüchlein', 'Einstecktüchlein', 'Einstricktüchlein', 'Einwickeltüchlein', 'Geifertüchlein', 'Geschirrtüchel', 'Geschirrtüchlein', 'Halstüchlein', 'Handtüchlein', 'Herabbindtüchlein', 'Hereinbindtüchlein', 'Herumbindetüchlein', 'Hüllentüchlein', 'Hülletüchlein', 'Kirchweihtüchlein', 'Knüpftüchel', 'Kopftüchel', 'Kopftüchelchen', 'Kopftüchlein', 'Kopftüchlelchen', 'Koptüchlein', 'Kuchentüchlein', 'Küchenhandtüchelchen', 'Küchenhandtüchlein', 'Leintüchlein', 'Lutschtüchlein', 'Meicheltüchel', 'Meicheltüchlein', 'Patenbündeltüchlein', 'Platztüchlein', 'Rindentüchlein', 'Sacktüchlein', 'Saugtüchel', 'Schmaustüchlein', 'Schmustüchlein', 'Schnabeltüchlein', 'Schnupfertüchel', 'Schnupftüchel', 'Schnäuztüchlein', 'Schnürpfeltüchlein', 'Serviettentüchlein', 'Speitüchlein', 'Spültüchlein', 'Stirntüchel', 'Stirntüchlein', 'Tragtüchel', 'Tragtüchlein', 'Trockentüchel', 'Trockentüchlein', 'Tröckelhandtüchlein', 'Tröckeltüchlein', 'Tuchlein', 'Tüchel', 'Tüchelein', 'Tüchlein', 'Umschlagtüchlein', 'Vespertüchlein', 'Vierecktüchlein', 'Wischtüchlein', 'Zipfeltüchlein']"
Hader,"['Abtrockenhaderl', 'Abtrockenhaderlein', 'Abtrockenhäderlein', 'Aufspülhaderl', 'Aufspülhäderlein', 'Aufwaschhädel', 'Aufwaschhäderlein', 'Haderlein', 'Häderlein', 'Waschhäderlein']"
wuseln,"['Abwusel', 'Abwuselein', 'Wuselein']"
Kuh,"['Achatskühlein', 'Anderlingskühlein', 'Bleikühlein', 'Blähkühlein', 'Bratwurstkühlein', 'Butzelkuhsel', 'Butzelkühlein', 'Erstlingskühlein', 'Hirtenkühlein', 'Johanniskühlein', 'Kuhkälblein', 'Kuhsel', 'Kuhselein', 'Kühbäuerlein', 'Kühchen', 'Kühlein', 'Kühpritschen', 'Milchkühlein', 'Mockelkühlein', 'Mooskühlein', 'Rotzkühlein', 'Tannenkühlein']"
ach,['Achen']
Busch,"['Achselbuschelein', 'Augenbüschel', 'Bauernbuschelein', 'Bauernbüschelein', 'Buschel', 'Buschelein', 'Buschen', 'Buschgelein', 'Büschel', 'Büschelein', 'Büscherl', 'Büschlein', 'Erbsenbüschel', 'Fichtenbüschlein', 'Frankenbüschel', 'Garbenbüschel', 'Getreidbüschel', 'Getreidebüschel', 'Grasbüschel', 'Haarbüschel', 'Haarbüschelein', 'Holzbüschel', 'Hüllebuschelein', 'Kirchweihbüschlein', 'Kornstrohbüschelein', 'Rebenbüschel', 'Reiserbuschen', 'Reiserbüschel', 'Reisigbuschen', 'Reisigbüschel', 'Reisigbüschelein', 'Ruschbuschel', 'Samenbüschel', 'Schaubbüschel', 'Schilfbüschel', 'Schmeckbüschel', 'Schmeckenbüschel', 'Strohbüschel', 'Strohbüschelein', 'Wellenbüschel', 'Wellenbüschelein', 'Wirrbüschel', 'Ährenbüschel']"
Achsel,['Achselhärlein']
Schübel,"['Achselschübelein', 'Haarschöbelein', 'Haarschübelein', 'Heuschübelein', 'Schamschöbelein', 'Schübelein', 'Schübellein', 'Schüberl', 'Strohschübelein']"
Zapfen,"['Achsenzäpflein', 'Achszäpflein', 'Adamszäpflein', 'Büchsenzäpflein', 'Drosselzäpflein', 'Eisenzäpflein', 'Halszäpflein', 'Haselzapflein', 'Jungszäpflein', 'Leuchsenzäpflein', 'Lünenzäpflein', 'Lüngzäpflein', 'Lünnzapflein', 'Lünnzäpflein', 'Lünzäpflein', 'Nagelzäpflein', 'Radzäpflein', 'Spießzäpflein', 'Spitzzäpfelein', 'Spitzzäpflein', 'Stiefelzäpflein', 'Wagenzapflein', 'Wagenzäpfel', 'Wagenzäpflein', 'Zäpfel', 'Zäpflein']"
Achse,['Achsstangel']
